2023年04月原材料收发存明细表,,,,,,,,,,
商品编号,商品全名,成品货号,上期存上期数量,上期存上期金额,本期入入库合计数量,本期入入库合计金额,本期出出库合计数量,本期出出库合计金额,本期存本期数量,本期存本期金额
020101433,信封,CH201723,1350,1485,,,120,132,1230,1353
020101434,信封,CH201724,,,3080,4466,,,3080,4466
020101486,封套,CH201770,682,511.5,,,85,63.75,597,447.75
020101488,天地盖盒子-梦幻独角兽,CH201770,780,3829.8,,,85,417.35,695,3412.45
020101490,4合1独角兽手工盒,CH201772,818,4588.98,,,818,4588.98,,
020101491,厚度小信封,CH201767,4072,4682.8,,,,,4072,4682.8
020101492,厚度小信封,CH201768,3728,4287.2,,,,,3728,4287.2
020101494,恐龙世界印章彩盒,CH201763,4934,13815.2,,,172,481.6,4762,13333.6
020101496,可爱宠物印章彩盒,CH201766,4978,13938.4,,,172,481.6,4806,13456.8
020101497,艾维尼摩尔奶奶教你学缝制-礼品盒,CH201760,2946,15466.5,,,,,2946,15466.5
020101498,艾维尼摩尔家族去野餐-礼品盒,CH201761,2946,15466.5,,,,,2946,15466.5
020101499,艾维尼摩尔家族去野餐-陀螺小工具,CH201761,3016,633.36,,,,,3016,633.36
020101500,纸盒,CH201772,68,61.2,,,68,61.2,,
020101501,展开小信封-独角兽水性刮画,CH201772,68,61.2,,,68,61.2,,
020101502,纸孔板信封,CH201772,68,61.2,,,68,61.2,,
020101503,衍纸信封,CH201772,68,61.2,,,68,61.2,,
020101467,包装罐子,38131,3030,7575,,,3030,7575,,
020101506,(低幼马赛克拼贴画-独角兽）信封,CH211590,5800,8397.4,3050,4575,1216,1824,7634,11148.4
020101507,(低幼马赛克拼贴画-美人鱼）信封,CH211591,3218,4505.2,,,832,1164.8,2386,3340.4
02010200,(钩针独角鲸鱼帽子)欧版彩盒,SD198130,120,306,,,,,120,306
020101544,(花束刮画-猫咪) 彩盒,CH211731,958,1264.56,,,,,958,1264.56
020101545,(花束刮画-蝴蝶）彩盒,CH211732,868,1093.68,,,384,483.84,484,609.84
020101546,(花束刮画-蛋糕）彩盒,CH211733,906,1195.92,,,,,906,1195.92
020101547,(花束刮画-花朵）彩盒,CH211734,792,997.92,3050,4331,350,441,3492,4887.92
020101551,(积木蜡笔-交通) 礼品盒,BTS216013,5810,16268,,,124,347.2,5686,15920.8
020101552,(积木蜡笔-恐龙) 礼品盒,BTS216014,6810,19105.8,,,,,6810,19105.8
020101553,(积木蜡笔-太空) 礼品盒,BTS216015,4030,11334,,,,,4030,11334
020101554,(积木蜡笔-城市) 礼品盒,BTS216016,4000,11248.8,,,,,4000,11248.8
020101558,（DIY钩钩包- 熊猫）圆筒,CH211752,2646,12542.04,,,364,1725.36,2282,10816.68
020101559,（DIY钩钩包- 考拉）圆筒,CH211753,2662,12617.88,,,462,2189.88,2200,10428
020101560,（DIY钩钩包- 鹿）圆筒,CH211754,128,569.6,,,128,569.6,,
020101564,(DIY立体刮刮画- 蝴蝶) 信封,CH211787,5400,7237.5,,,1360,1632,4040,5605.5
020101568,（小圆筒-小狐狸）圆桶,CH211636,3641,10886.59,,,230,687.7,3411,10198.89
020101580,（DIY穿绳套装-我的动物朋友）彩盒,CH211796,2116,2496.88,,,480,566.4,1636,1930.48
