2023年04月原材料收发存明细表,,,,,,,,,,
商品编号,商品全名,成品货号,上期存上期数量,上期存上期金额,本期入入库合计数量,本期入入库合计金额,本期出出库合计数量,本期出出库合计金额,本期存本期数量,本期存本期金额
020106025,纸条,CH201744,3162,98.02,,,150,4.65,3012,93.37
020106026,拼插纸卡,BTS216017,4332,8967,,,280,560,4052,8407
020106027,拼插纸卡,BTS216018,2834,5951.4,,,164,344.4,2670,5607
020106028,拼插纸卡,BTS216019,2834,5951.4,,,160,336,2674,5615.4
020106029,拼插纸卡,BTS216020,4320,8943,,,560,1120,3760,7823
020106030,（创意蜡笔套装-四季变换）圆形底纸,BTS216017,4302,688.32,,,280,44.8,4022,643.52
020106031,（创意蜡笔套装-森林音乐会）圆形底纸,BTS216018,2686,429.76,,,164,26.24,2522,403.52
020106032,（创意蜡笔套装-小小树屋）圆形底纸,BTS216019,2334,373.44,,,160,25.6,2174,347.84
020106033,（创意蜡笔套装-去野餐呀）圆形底纸,BTS216020,4290,686.4,,,560,89.6,3730,596.8
020106034,（创意蜡笔套装-四季变换）内衬,BTS216017,4302,1935.9,,,280,126,4022,1809.9
020106035,（创意蜡笔套装-森林音乐会）内衬,BTS216018,2686,1208.7,,,164,73.8,2522,1134.9
020106036,（创意蜡笔套装-小小树屋）内衬,BTS216019,2334,1050.3,,,160,72,2174,978.3
020106037,（创意蜡笔套装-去野餐呀）内衬,BTS216020,4290,1930.5,,,560,252,3730,1678.5
020106038,纸带,38195,,,2550,331.5,,,2550,331.5
020106045,纸浆片,38195,7650,7650,,,,,7650,7650
020106048,纸圈,,16800,420,,,,,16800,420
020106049,拉页,CH221815--18,656,314.88,,,656,314.88,,
020106050,装饰纸卡,CH191683,6968,2438.8,,,1580,553,5388,1885.8
020106068,硫酸纸,,3200,480,,,,,3200,480
020106077,内衬,ZE1070A,3020,4530,,,3020,4530,,
020106083,内衬,ZE1067A,3020,2869,,,3020,2869,,
020106085,（阳光捕手套装）纸模板,,,,6100,28060,6100,28060,,
020106088,小纸圈,CH221815-18,15262,305.24,24000,480,2932,58.64,36330,726.6
020106093,（串珠-粉兔兔）内衬,CH221883,5408,1135.68,3030,636.3,1960,411.6,6478,1360.38
020106094,（串珠-紫喵喵）内衬,CH221884,5120,1075.2,3030,636.3,1960,411.6,6190,1299.9
020106095,（串珠-蓝汪汪）内衬,CH221885,5168,1085.28,3030,636.3,1912,401.52,6286,1320.06
020106096,（串珠-桔小狐）内衬,CH221886,5456,1145.76,3030,636.3,1336,280.56,7150,1501.5
020106097,英文拉页,CH221815-18,10862,4401.7,6000,2700,2932,1026.2,13930,6075.5
020106099,纸卡,CH221863/64/65/66,4000,1752,,,,,4000,1752
020106105,异型刮刮画纸卡,CH221575,1120,168,,,,,1120,168
020106106,异型纸卡,CH221575,1120,156.8,,,,,1120,156.8
0201050101,硬卡板纸,CH1437,3000,5430,,,,,3000,5430
0201050102,硬卡板纸,CH1441,3000,5430,,,,,3000,5430
0201050103,硬卡板纸,CH1435,3000,5430,,,,,3000,5430
0201050104,硬卡板纸,CH1443,3000,5430,,,,,3000,5430
0201050111,围卡,CH221808,3050,1769,,,452,262.16,2598,1506.84
0201050113,围卡,CH221773,3050,2818.2,,,496,458.3,2554,2359.9
0201050112,内衬档条,CH221773,3050,1433.5,,,496,233.12,2554,1200.38
0201050114,内衬,CH221808,3036,2155.56,,,452,320.92,2584,1834.64
0201050115,封套,CH221893,3036,2073.59,,,1102,752.67,1934,1320.92
0201050116,半圆遮挡板,CH221893,3036,1436.03,,,1102,521.25,1934,914.78
02010601,(手工缝制玩偶-猴子)材料包,CH1371,500,3970,,,,,500,3970
02010605,(手工缝制玩偶-浣熊)材料包,CH1375,900,6777,,,,,900,6777
02010611,(手工缝制玩偶-天使)材料包,CH1381,920,6992,,,,,920,6992
02010613,(手工缝制玩偶-火烈鸟)材料包,CH1383,100,760,,,,,100,760
02010615,(手工缝制玩偶-羊驼)材料包,CH1385,200,1656,,,,,200,1656
02010622,(Key Chain-羊驼)材料包,CH1631,60,279,,,60,279,,
02010635,珠子材料包,,3000,29400,,,,,3000,29400
02010657,配件,PZ205061,150,480,,,,,150,480
02010658,配件,PZ205062,150,480,,,,,150,480
02010659,配件,PZ205063,150,480,,,,,150,480
02010660,配件,PZ205064,150,480,,,,,150,480
02010661,配件,PZ205065,150,480,,,,,150,480
02010662,配件,PZ205066,150,480,,,,,150,480
02010668,梦幻独角兽翅膀,CH201770,1892,15136,,,85,680,1807,14456
02010669,神秘喷火龙翅膀,CH201771,642,6420,,,12,120,630,6300
02010671,(艾维尼马赛克拼贴画-独角兽)EVA贴,CH211590,2120,4452,,,1216,2553.6,904,1898.4
02010675,(DIY钩钩包- 鹿）材料包,CH211754,128,1036.8,,,128,1036.8,,
02010676,（小圆筒缝制-小狐狸）材料包,CH211636,1571,7310.85,,,230,1075.2,1341,6235.65
02010206,(手工缝制玩偶-考拉)说明书,CH1376,12942,1996.24,,,1862,223.44,11080,1772.8
02010207,(手工缝制玩偶-兔子)说明书,CH1377,6100,976,,,,,6100,976
02010208,(手工缝制玩偶-喵咪)说明书,CH1378,4800,768,,,360,57.6,4440,710.4
02010216,(手工缝制玩偶-独角兽)说明书,CH1386,4244,679.04,,,344,55.04,3900,624
02010219,(新十字绣艺术卡-大象)说明书,CH1435,3050,244,,,3050,244,,
02010221,(新十字绣艺术卡-狮子)说明书,CH1437,3050,244,,,3050,244,,
02010225,(新十字绣艺术卡-狐狸)说明书,CH1441,3050,244,,,3050,244,,
02010227,(新十字绣艺术卡-松鼠)说明书,CH1443,3050,244,,,3050,244,,
02010233,(薄页纸套装-火烈鸟)说明书,CH1461,260,26,,,,,260,26
02010234,(薄页纸套装-孔雀)说明书,CH1462,1854,185.4,,,,,1854,185.4
02010243,(刮刮画-宇宙)说明书,CH1171,283,28.3,,,,,283,28.3
02010257,(刮刮画-独角兽)说明书,CH1428,2017,201.7,,,,,2017,201.7
02010275,(手工相框-新十字绣艺术卡-孔雀)说明书,CH1524,680,68,,,,,680,68
020102145,Key Chain-猫头鹰-说明书,CH1629,462,73.92,,,462,73.92,,
020102151,Key Chain-大嘴鸟-说明书,CH1630,2043,204.3,,,,,2043,204.3
020102152,Key Chain-羊驼-说明书,CH1631,1924,307.84,,,932,149.12,992,158.72
020102154,Key Chain-鹿-说明书,CH1633,698,111.68,,,164,26.24,534,85.44
020102155,Key Chain-企鹅-说明书,CH1634,1178,188.48,,,360,57.6,818,130.88
020102157,Doll-独角兽-说明书,CH1620,1083,173.28,,,1083,173.28,,
020102126,(钥匙扣-兔子)说明书,LLT8080,3000,300,,,,,3000,300
020102127,(钥匙扣-狮子)说明书,LLT8081,3000,300,,,,,3000,300
020102130,(圣诞老人)说明书,CH1650,1100,110,,,,,1100,110
020102133,趣味十字绣中文说明书,,438,21.9,,,,,438,21.9
020102134,薄页纸套装中文说明书,,579,28.95,,,,,579,28.95
020102135,马赛克套装中文说明书,,2935,146.75,,,,,2935,146.75
020102137,植绒画套装中文说明书,,3105,155.25,,,,,3105,155.25
020102138,帆布画框套装中文说明书,,4000,200,,,,,4000,200
020102146,(麋鹿)说明书,CH1651,1100,110,,,,,1100,110
020102147,(雪人)说明书,CH1652,1100,110,,,,,1100,110
020102170,内销说明书,CH191702,689,34.45,,,689,34.45,,
020102171,内销说明书,CH191703,1000,50,,,360,18,640,32
020102173,外销说明书,CH191696,914,73.12,2050,164,360,28.8,2604,208.32
020102174,外销说明书,CH191697,1488,119.04,,,,,1488,119.04
020102175,外销说明书,CH191699,3852,308.16,2050,164,1288,103.04,4614,369.12
020102176,外销说明书,CH191700,1084,86.72,,,360,28.8,724,57.92
020102177,外销说明书,CH191701,3692,295.36,,,360,28.8,3332,266.56
020102178,外销说明书,CH191702,8363,669.04,,,3540,283.2,4823,385.84
020102179,外销说明书,CH191703,3778,302.24,,,360,28.8,3418,273.44
020102180,外销说明书,CH191704,4032,322.56,2050,164,360,28.8,5722,457.76
020102181,(礼品盒-海洋)说明书,MB197064,1600,240,,,,,1600,240
020102182,(礼品盒-食物)说明书,MB197065,1500,225,,,,,1500,225
020102183,(礼品盒-海洋)说明书,MB199211,1900,635,,,,,1900,635
020102184,(礼品盒-食物)说明书,MB199212,1650,535,,,,,1650,535
020102189,外销说明书,CH191698,1652,132.16,,,216,17.28,1436,114.88
020102190,太空沙海洋中文说明书,MB199211,2060,824,,,,,2060,824
020102191,太空沙食物中文说明书,MB199212,1100,440,,,,,1100,440
020102220,说明书,CH1641,1600,160,,,,,1600,160
020102221,说明书,CH1643,1600,160,,,,,1600,160
020102231,说明书,CH1644,1600,160,,,,,1600,160
020102232,说明书,CH1645,1600,160,,,,,1600,160
020102233,说明书,CH1648,1600,160,,,,,1600,160
020102234,说明书,CH1649,1600,160,,,,,1600,160
020102238,低幼马赛克中文说明书,,5000,300,,,,,5000,300
020102251,说明书,CH1547,2000,200,,,,,2000,200
020102252,说明书,CH1549,2000,200,,,,,2000,200
020102253,说明书,CH191653,2000,200,,,,,2000,200
020102254,说明书,CH191654,2000,200,,,,,2000,200
020102255,说明书,MB207143,2000,200,,,,,2000,200
020102256,说明书,MB207144,2000,200,,,,,2000,200
020102257,说明书,MB207145,2000,200,,,,,2000,200
020102258,说明书,CH197135,2900,1740,,,,,2900,1740
020102259,说明书,CH197136,2900,1740,,,,,2900,1740
020102260,说明书,CH191434,1576,1576,,,932,932,644,644
020102267,说明书,CH201749,2330,372.8,,,240,38.4,2090,334.4
020102268,说明书,CH201750,3770,572.7,,,204,32.64,3566,540.06
020102269,说明书,CH201751,3416,494.1,,,198,19.8,3218,474.3
020102270,说明书,CH201743,2260,1536.8,,,500,340,1760,1196.8
020102271,说明书,CH201744,3092,2102.56,,,150,102,2942,2000.56
020102273,拼插中文说明书,PZ2050613D,3000,150,,,,,3000,150
020102274,拼插中文说明书,PZ2050623D,3000,150,,,,,3000,150
020102275,拼插中文说明书,PZ2050633D,3000,150,,,,,3000,150
020102276,拼插中文说明书,PZ2050643D,3000,150,,,,,3000,150
020102277,拼插中文说明书,PZ2050653D,3000,150,,,,,3000,150
020102278,拼插中文说明书,PZ2050663D,3000,150,,,,,3000,150
020102279,针钩包中文说明书,CH201749,448,71.68,,,240,38.4,208,33.28
020102284,灯带刮画中文说明书,,1000,50,,,,,1000,50
020103003,中文说明书,,3800,570,,,,,3800,570
020103005,额外说明书,,9395,3030.8,,,,,9395,3030.8
020103010,说明书册子-独角兽,CH201770,1466,1011.54,,,85,58.65,1381,952.89
020103011,说明书册子-神秘喷火龙,CH201771,190,131.1,,,12,8.28,178,122.82
020103013,说明折页,CH201764,172,48.16,,,172,48.16,,
020103014,说明折页,CH201763,6094,1706.32,,,172,48.16,5922,1658.16
020103015,说明折页,CH201765,652,182.56,,,172,48.16,480,134.4
020103016,说明折页,CH201766,5798,1623.44,,,172,48.16,5626,1575.28
020103017,说明书册子,CH201772,68,57.8,,,68,57.8,,
020102314,刮画卡板书,CH201761,2946,23509.08,,,,,2946,23509.08
020103018,说明书册子,CH201760,3946,4154.1,,,,,3946,4154.1
020103019,说明书册子,CH201761,3946,4154.1,,,,,3946,4154.1
020103022,中文说明书,CH201768,760,136.8,,,,,760,136.8
020103023,中文说明书,CH201763,304,182.4,,,304,182.4,,
020103025,中文说明书,CH201765,532,319.2,,,172,103.2,360,216
020103026,中文说明书,CH201766,828,496.8,,,172,103.2,656,393.6
020103039,Doll-羊驼-中文说明书,CH1623,331,52.96,,,331,52.96,,
020103046,Key Chain-鹿-中文说明书,CH1633,812,129.92,,,164,26.24,648,103.68
020103047,Key Chain-企鹅-中文说明书,CH1634,272,43.52,,,272,43.52,,
020103054,关节刮画中文说明书,,2000,160,,,,,2000,160
020103055,毛条刮画中文说明书,,2000,160,,,,,2000,160
020103056,线条、男款刮画中文说明书,,5000,300,,,,,5000,300
020103057,低幼刮画中文说明书,,15000,900,,,,,15000,900
020103060,花束刮画-中文说明书,,8700,435,,,,,8700,435
020103064,积木蜡笔-中文说明书,,3000,480,,,,,3000,480
020103065,（钩钩包-熊猫）说明书,CH211752,2646,423.36,,,364,58.24,2282,365.12
020103066,（钩钩包-考拉）说明书,CH211753,2662,425.92,,,462,73.92,2200,352
020103067,（钩钩包-鹿）说明书,CH211754,128,20.48,,,128,20.48,,
020103068,中文说明书,CH1377,4000,640,,,,,4000,640
020103073,（积木蜡笔-交通）说明书,BTS216013,5810,1278.2,,,124,27.28,5686,1250.92
020103074,（积木蜡笔-恐龙）说明书,BTS216014,6810,1505.76,,,,,6810,1505.76
020103075,（积木蜡笔-太空）说明书,BTS216015,4030,896.6,,,,,4030,896.6
020103076,（积木蜡笔-城市）说明书,BTS216016,4000,889.76,,,,,4000,889.76
020103094,（小圆筒缝制-小狐狸）中文说明书,CH211636,618,98.88,,,230,36.8,388,62.08
020103095,（小圆筒缝制-小狐狸）英文说明书,CH211636,3474,555.84,,,230,36.8,3244,519.04
020103107,(四面展架)说明书,,30,90,,,,,30,90
020103111,说明书,CH211796,1821,291.36,,,480,76.8,1341,214.56
020103112,说明书,CH211797,1410,225.6,,,1020,163.2,390,62.4
020103113,说明书,CH211798,1541,246.56,,,1020,163.2,521,83.36
020103114,说明书,CH211799,1429,228.64,,,1020,163.2,409,65.44
020103119,中文说明书,CH201769,840,840,,,,,840,840
020103123,Doll-企鹅-说明书,CH1626,3050,488,,,620,99.2,2430,388.8
020103124,A3画册,ZE1067A,3030,9999,,,3030,9999,,
020103125,A3画册,ZE1069A,,,3010,9933,,,3010,9933
020103126,A3画册,ZE1070A,3030,14544,,,3030,14544,,
020102307,中文说明书,PZ215067,1930,308.8,,,,,1930,308.8
020102308,中文说明书,PZ215068,1930,308.8,,,,,1930,308.8
020102309,中文说明书,PZ215069,1930,308.8,,,,,1930,308.8
020102316,中文说明书,PZ215070,1930,308.8,,,,,1930,308.8
020102318,说明书,CH211788,3100,465,,,284,42.6,2816,422.4
020102319,说明书,CH211789,3148,472.2,,,184,27.6,2964,444.6
020102320,中文说明书,BTS216017-20,4308,689.28,,,280,44.8,4028,644.48
020102321,中文说明书,CH211790,740,74,,,240,24,500,50
020102322,中文说明书,CH211791,20,2,,,20,2,,
020102323,中文说明书,CH211792,380,38,,,102,10.2,278,27.8
020103131,（DIY造纸套装）说明书,38195,,,2550,1275,,,2550,1275
020102330,(小圆筒-老虎）中文说明书,CH221637,702,112.32,,,702,112.32,,
020102333,(小圆筒-老虎）说明书,CH221637,3782,605.12,,,1036,165.76,2746,439.36
020102011,中文说明书,CH211809,1017,1017,,,,,1017,1017
020102334,中文说明书,CH221815,1656,264.96,,,932,149.12,724,115.84
020102335,（线条刮画）中文说明书,CH221541-46 CH221568-71,2580,412.8,,,1020,163.2,1560,249.6
020102013,说明书,CH221815,3684,589.44,,,932,149.12,2752,440.32
020102014,说明书,CH221816,2832,453.12,3030,484.8,656,104.96,5206,832.96
020102015,说明书,CH221817,3192,510.72,3030,484.8,1444,231.04,4778,764.48
020102016,说明书,CH221818,5550,888,,,1216,194.56,4334,693.44
020102341,中文说明书,CH191698,432,21.6,,,216,10.8,216,10.8
020102036,小册子,ZE1070A,3020,755,,,3020,755,,
020102040,小册子,ZE1067A,3020,755,,,3020,755,,
020103138,（阳光捕手套装）说明书,,,,6100,1464,6100,1464,,
020102343,英文说明书,CH221801,2664,426.24,,,896,143.36,1768,282.88
020102344,英文说明书,CH221802,2880,460.8,,,1216,194.56,1664,266.24
020102345,英文说明书,CH221803,1618,258.88,2050,328,1192,190.72,2476,396.16
020102346,英文说明书,CH221804,2736,437.76,,,1264,202.24,1472,235.52
020102347,英文说明书,CH221805,3024,483.84,,,1576,252.16,1448,231.68
020102348,英文说明书,CH221806,1498,239.68,2050,328,1244,199.04,2304,368.64
020102349,英文说明书,CH221807,1594,255.04,,,592,94.72,1002,160.32
020102350,英文说明书,CH221800,1282,205.12,,,516,82.56,766,122.56
020102045,（折纸恐龙）中文说明书,CH221810,1228,1228,,,180,180,1048,1048
020102046,中文说明书,CH221800,252,40.32,,,252,40.32,,
020102049,中文说明书,CH221803,588,94.08,,,126,20.16,462,73.92
020102052,中文说明书,CH221806,468,74.88,,,125,20,343,54.88
020102053,中文说明书,CH221807,564,90.24,,,126,20.16,438,70.08
020102054,（串珠-粉兔兔）英文说明书,CH221883,5408,865.28,3030,484.8,1960,313.6,6478,1036.48
020102055,（串珠-紫喵喵）英文说明书,CH221884,5120,819.2,3030,484.8,1960,313.6,6190,990.4
020102056,（串珠-蓝汪汪）英文说明书,CH221885,5168,826.88,3030,484.8,1912,305.92,6286,1005.76
020102057,（串珠-桔小狐）英文说明书,CH221886,5456,872.96,3030,484.8,1336,213.76,7150,1144
020102058,（方盒-考拉）中文说明书,CH1376,1280,256,,,72,14.4,1208,241.6
020102059,（立体拼贴画）中文说明书,CH221839/40/41/42,668,133.6,,,668,133.6,,
020102353,（不湿沙-四色混）说明书,,,,15200,3800,,,15200,3800
020102354,中文说明书,CH221575,1120,56,,,,,1120,56
020102073,中文说明书,CH221773,1030,800,,,30,300,1000,500
020102074,中文说明书,CH221808,1030,800,,,30,300,1000,500
020102075,中文说明书,CH221855/56/57/58,4130,1030,,,4000,640,130,390
020102355,中文说明书,CH221893,1033,1544,,,33,594,1000,950
020102356,英文说明书,CH221893,3036,2884.2,,,1102,1046.9,1934,1837.3
020102077,英文说明书,CH221773,3036,1518,,,496,248,2540,1270
020102078,英文说明书,CH221808,3036,1518,,,452,226,2584,1292
020102079,中文说明书,CH221811,1000,500,,,164,82,836,418
020102082,中文说明书,CH221818,1000,160,,,216,34.56,784,125.44
020102083,（独角兽3D挂饰）说明书,,,,11080,1440.4,,,11080,1440.4
020102085,（热缩片信封装-动物）说明书,,,,8050,1288,,,8050,1288
020107,薄页纸,,1260,3298.68,,,,,1260,3298.68
02010817,马赛克EVA贴,CH191592,1122,2356.2,,,1000,2100,122,256.2
02010818,马赛克EVA贴,CH191593,2872,6031.2,3030,6363,2232,4687.2,3670,7707
02010820,马赛克EVA贴,CH191595,386,810.6,,,386,810.6,,
02010830,EVA贴,CH211590,,,6080,12768,1216,2553.6,4864,10214.4
02010837,EVA贴,CH211595,1530,3213,,,,,1530,3213
02010901,黑色-#310毛线,,700,77,,,,,700,77
02010906,白色-#BLANC毛线,,98,4165,,,,,98,4165
02010909,黑色-#310毛线,,9,292.5,,,,,9,292.5
02010913,红色-#817毛线,,4,130,,,,,4,130
02010914,绿色-#703毛线,,1,32.5,,,,,1,32.5
02010915,棕色-#300毛线,,1,32.5,,,,,1,32.5
02010916,浅蓝色-#800毛线,,3,97.5,,,,,3,97.5
02010917,粉色-#605毛线,,3,97.5,,,,,3,97.5
02010918,黄色-#444毛线,,3,97.5,,,,,3,97.5
02010919,粉红色-#603毛线,,3,97.5,,,,,3,97.5
02010921,浅绿色-#964毛线,,11,132,,,,,11,132
02010925,鞋带1,CH201760,7900,790,,,,,7900,790
02010926,鞋带2,CH201760,3100,465,,,,,3100,465
02010928,白色毛线,,103,4377.5,,,,,103,4377.5
02010929,白色-绦纶线,,3100,341,,,,,3100,341
02010935,粉色-3609 涤纶线,,12500,1375,,,,,12500,1375
02010936,橘色-947 涤纶线,,12500,1375,,,,,12500,1375
02010937,黄色-307 涤纶线,,12500,1375,,,,,12500,1375
02010938,绿色-907 涤纶线,,13500,1485,,,,,13500,1485
02010939,藏青色-823 涤纶线,,12500,1375,,,,,12500,1375
02010940,棉线 S283,,,,5000,1400,,,5000,1400
02010941,白色棉线,,191,2498.28,,,,,191,2498.28
02010943,浅鸡黄-腈纶毛线,,128.5,3490.68,,,,,128.5,3490.68
02010944,荷粉-腈纶毛线,,116,3190.68,,,,,116,3190.68
02010945,深雪青-腈纶毛线,,116,3190.68,,,,,116,3190.68
02010946,宝蓝-腈纶毛线,,116,3190.68,,,,,116,3190.68
02010947,大红-腈纶毛线,,116,3190.68,,,,,116,3190.68
02010948,鞋带 橘红色,,62300,4880.7,5000,395,,,67300,5275.7
02010956,夕红- 毛线41#,,11,305.9,,,,,11,305.9
02010957,荷粉- 毛线13#,,5.5,152.96,,,,,5.5,152.96
02010958,浅粉- 毛线10#,,5.5,152.96,,,,,5.5,152.96
02010959,漂白- 毛线02#,,5.5,152.96,,,,,5.5,152.96
02011004,毛毡PN-080,PN-080,13,104,,,,,13,104
02011005,毛毡PN-001,PN-001,86,688,,,60,480,26,208
02011009,毛毡PN-081,PN-081,23,184,,,,,23,184
02011010,毛毡PN-057,PN-057,9,72,,,,,9,72
02011013,毛毡PN-128,PN-128,18,144,,,,,18,144
02011014,毛毡PN-022,PN-022,1,8,,,,,1,8
02011015,毛毡PN-018,PN-018,3,24,,,,,3,24
02011016,硬毛毡PN-902,PN-902,50,500,,,,,50,500
02011017,毛毡PN-121,PN-121,4,32,,,,,4,32
02011018,毛毡PN-091,PN-091,53,424,,,,,53,424
02011020,毛毡PN-003,PN-003,14,112,,,,,14,112
02011021,毛毡PN-072,PN-072,20,160,,,,,20,160
02011022,毛毡PN-062,PN-062,57,456,,,,,57,456
02011024,毛毡PN-029,PN-029,58,464,,,,,58,464
02011025,毛毡PN-093,PN-093,,,80,640,60,480,20,160
02011026,毛毡PN-009,PN-009,15,120,,,,,15,120
02011027,硬毛毡-884,884,31,310,,,,,31,310
02011028,短毛绒,,439,9877.5,,,,,439,9877.5
02011029,毛毡PN-006,PN-006,54,432,,,,,54,432
02011030,毛毡PN-005,PN-005,23,184,,,,,23,184
02011031,毛毡PN-116,PN-116,32,326.4,,,,,32,326.4
02011032,毛毡PN-108,PN-108,23,184,,,,,23,184
02011033,毛毡PN-101,PN-101,24,192,,,,,24,192
02011035,毛毡PN-017,PN-017,31,248,,,,,31,248
02011036,硬毛毡-846,,43,430,,,,,43,430
02011040,背胶毛毡PN-005,PN-005,15,74.25,,,,,15,74.25
02011041,背胶毛毡PN-108,PN-108,23,113.85,,,,,23,113.85
02011042,背胶毛毡PN-117,PN-117,2,9.9,,,,,2,9.9
02011043,白网点毛毡PN-116,PN-116,3,30.6,,,,,3,30.6
02011047,刮画云朵毛毡,,10796,1727.36,50000,8000,23879,3820.64,36917,5906.72
02011048,毛毡PN-063,PN-063,2,16,,,,,2,16
02011050,短毛绒,,12,178.2,,,,,12,178.2
02011051,短毛绒,,70,1109.5,,,,,70,1109.5
02011052,短毛绒,,14,207.9,,,,,14,207.9
02011053,硬毛毡1114,1114,18,73.8,,,,,18,73.8
02011054,硬毛毡1103,1103,28,114.8,,,,,28,114.8
02011055,硬毛毡1130,1130,19,77.9,,,,,19,77.9
02011056,硬毛毡1174,1174,18,73.8,,,,,18,73.8
02011057,硬毛毡1155,1155,14,57.4,,,,,14,57.4
02011058,硬毛毡1226,1226,18,73.8,,,,,18,73.8
02011059,硬毛毡1110,1110,23,94.3,,,,,23,94.3
02011060,硬毛毡1120,1120,20,82,,,,,20,82
02011064,猫咪面具云朵毛毡,,231,48.51,,,231,48.51,,
02011065,蓝色硬毛毡-16,,44,532,,,,,44,532
02011066,硬毛毡-820,,28,280,,,,,28,280
02011067,硬毛毡-255,,24,120,,,,,24,120
02011068,硬毛毡-823,,22,220,,,,,22,220
02011069,毛毡-063,,8,112,,,,,8,112
02011070,毛毡-026,,20,280,,,,,20,280
02011071,毛毡-080,,42,588,,,,,42,588
02011072,毛毡-022,,38,532,,,,,38,532
02011073,软毛毡-026,,37,296,,,,,37,296
02011074,软毛毡-017,,31,248,,,,,31,248
02011075,软毛毡-128,,26,208,,,,,26,208
02011076,软毛毡-091,,41,328,,,,,41,328
02011077,软毛毡-022,,35,280,,,,,35,280
02011078,硬毛毡-821,,14,140,,,,,14,140
02011080,软毛毡-051,,27,216,,,,,27,216
02011081,软毛毡-054,,20,160,,,,,20,160
02011083,绒布,CH1376,4,90,,,4,90,,
02011084,绒布,,255,5737.5,,,,,255,5737.5
02011086,软毛毡-F1,CH1377,18,126,,,,,18,126
02011087,复合短毛绒PN-001,CH1386,45,713.25,,,45,713.25,,
02011088,考拉衣服,CH1376,2985,2238.75,,,720,540,2265,1698.75
02011089,兔子衣服,CH1377,3020,2265,,,,,3020,2265
02011090,猫咪衣服,CH1378,4330,1948.5,,,360,162,3970,1786.5
02011091,毛毡PN-162,PN-162,82,656,,,60,480,22,176
02011092,硬毛毡-821,821,21,210,,,,,21,210
02011093,硬毛毡-213,213,50,250,,,,,50,250
02011097,毛毡 PN-026,PN-101,25,200,,,,,25,200
02011098,毛毡PN-054,PN-054,98,784,,,60,480,38,304
02011099,毛毡PN-042,PN-042,47,376,,,,,47,376
02011112,背胶-硬毛毡,P-052,3,32.4,,,,,3,32.4
02011115,背胶-硬毛毡,P-202,55,594,,,,,55,594
02011116,背胶-硬毛毡,P-010,71,766.8,,,60,648,11,118.8
02011117,背胶-硬毛毡,P-206,6,64.8,,,,,6,64.8
02011118,背胶-硬毛毡,P-062,30,324,,,,,30,324
02011119,背胶-硬毛毡,P-118,30,324,,,,,30,324
02011121,背胶-硬毛毡,P-059,35,378,,,,,35,378
02011122,硬毛毡-2202,,15,162,,,,,15,162
02011123,硬毛毡-2207,,15,162,,,,,15,162
02011124,硬毛毡-2206,,15,162,,,,,15,162
02011125,硬毛毡-2211,,15,162,,,,,15,162
02011126,硬毛毡-2217,,15,162,,,,,15,162
02011127,硬毛毡-2219,,15,162,,,,,15,162
02011128,硬毛毡-2215,,15,162,,,,,15,162
02011129,硬毛毡-2214,,15,162,,,,,15,162
02011130,硬毛毡-2218,,15,162,,,,,15,162
02011131,硬毛毡-2220,,15,162,,,,,15,162
02011132,硬毛毡-2248,,15,162,,,,,15,162
02011133,硬毛毡-2209,,15,162,,,,,15,162
02011134,软毛毡PN-143,,75,600,,,60,480,15,120
02011138,背胶软毛毡,P-001,6,64.8,,,,,6,64.8
02011140,背胶软毛毡,P-202,30,324,,,,,30,324
02011141,背胶软毛毡,P-010,8,86.4,,,,,8,86.4
02011142,背胶软毛毡,P-206,50,540,,,,,50,540
02011143,背胶软毛毡,P-062,40,432,,,,,40,432
02011144,背胶软毛毡,P-118,30,324,,,,,30,324
02011145,背胶软毛毡,P-069,30,324,,,,,30,324
02011146,背胶软毛毡,P-059,30,324,,,,,30,324
02011147,背胶-硬毛毡,P-239,60,648,,,60,648,,
02011148,背胶-硬毛毡,P-166,61,658.8,,,60,648,1,10.8
02011149,背胶-硬毛毡,P-165,20,216,,,,,20,216
02011150,背胶-硬毛毡,P-020,73,788.4,,,60,648,13,140.4
02011151,硬毛毡-866,,86,860,,,60,600,26,260
02011152,硬毛毡-855,,50,500,,,,,50,500
02011154,硬毛毡-824,,20,200,,,,,20,200
02011160,硬毛毡-849,,55,550,,,,,55,550
02011161,硬毛毡-853,,40,400,,,,,40,400
02011164,硬毛毡,272,20,129.6,,,,,20,129.6
02011165,软毛毡-H43,玫红色 H43,60,168,,,60,168,,
02011167,软毛毡-H82,米白色 H82,40,112,,,,,40,112
02011169,软毛毡-H115,紫色 H115,19,53.2,,,,,19,53.2
02011170,黑色闪粉贴,,49,882,,,,,49,882
02011171,银色闪粉贴,,56,1008,,,,,56,1008
02011172,粉色闪粉贴,,18,324,,,,,18,324
02011173,七彩白,,14,280,,,,,14,280
02011174,长毛绒复合 -米色,,73,131.4,,,,,73,131.4
02011175,长毛绒复合 -白色,,55.8,100.44,,,,,55.8,100.44
02011177,长毛绒复合 -咖啡色,,113.4,204.12,,,,,113.4,204.12
02011178,长毛绒复合 -灰色,,82,491.8,,,,,82,491.8
02011179,灯芯绒复合 -粉色,,379,1288.6,,,,,379,1288.6
02011180,灯芯绒复合 -白色,,413,1404.2,,,,,413,1404.2
02011181,灯芯绒复合 -咖啡色,,259,880.6,,,,,259,880.6
02011182,灯芯绒复合 -绿色,,93,316.2,178,605.2,,,271,921.4
